Sample,SampleName,AT1G22630,AT1G22620,AT1G22610,Tissue,Ecotype,Genotype,Treatment,Project,TotalReads,UniqueMappedRatio,ReleaseDate
DRX014499,RNA-seq of Arabidopsis wildtype plants under saline stress conditions,63.5,26.49,0,whole plant,--,ros1-3 mutant,--,PRJDB2508,12516488,0.8799,4/30/2015
DRX014500,RNA-seq of Arabidopsis wildtype plants under ABA conditions,68.42,27.84,0,whole plant,--,ros1-3 mutant,--,PRJDB2508,12816639,0.8755,4/30/2015
DRX014501,RNA-seq of Arabidopsis wildtype plants under mock conditions,73.68,21.3,0,whole plant,--,ros1-3 mutant,--,PRJDB2508,15756706,0.8678,4/30/2015
DRX014502,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under ABA conditions,59.9,24.9,0,whole plant,--,dml2;3 mutant,--,PRJDB2508,16500234,0.9282,4/30/2015
DRX014503,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under mock conditions,28.04,21.17,0,whole plant,--,dml2;3 mutant,--,PRJDB2508,12068156,0.936,4/30/2015
DRX014504,RNA-seq of Arabidopsis dml2;3 (dd) plants under ABA conditions,34.61,20.26,0,whole plant,--,dml2;3 mutant,--,PRJDB2508,10330348,0.9451,4/30/2015
DRX014505,RNA-seq of Arabidopsis dml2;3 (dd) plants under mock conditions,60.18,25.52,0,whole plant,--,dml2;3 mutant,--,PRJDB2508,14262187,0.9324,4/30/2015
DRX014506,RNA-seq of Arabidopsis dml2;3 (dd) plants under dehydration conditions,28.04,21.17,0,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,12068156,0.936,4/30/2015
DRX014507,RNA-seq of Arabidopsis dml2;3 (dd) plants under saline stress conditions,34.61,20.26,0,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,10330348,0.9451,4/30/2015
DRX014508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under dehydration conditions,62.79,27.04,0,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,12458301,0.8779,4/30/2015
DRX014509,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under saline stress conditions,94.92,20.27,0,whole plant,--,ros1dml2;3 mutant,--,PRJDB2508,10919328,0.9214,4/30/2015
DRX014760,DRS014294,49.99,27.91,0,seedlings,Col-0,wild type,--,PRJDB2380,11879962,0.7388,1/2/2017
DRX014761,DRS014295,57.35,31.52,0,seedlings,Col-0,wild type,--,PRJDB2380,14640751,0.7499,1/2/2017
DRX014762,RNA Seq of rfl2_5,55.03,32.52,0,seedlings,Col-0,rfl2,--,PRJDB2380,14744964,0.7357,1/2/2017
DRX014763,RNA Seq of rfl2_6,58.86,33.11,0,seedlings,Col-0,rfl2,--,PRJDB2380,13603449,0.7364,1/2/2017
DRX016648,WT grown for Dark 0h.,16.79,40.37,0,whole plant,Col-0,wild type,--,PRJDB2760,137575869,0.6027,11/27/2014
DRX016649,WT grown for Dark 3h.,16.01,40.36,0,whole plant,Col-0,wild type,--,PRJDB2760,116975801,0.5879,11/27/2014
DRX016650,WT grown for Red 1h.,25.73,40.11,0,whole plant,Col-0,wild type,--,PRJDB2760,192531285,0.7487,11/27/2014
DRX016651,WT grown for Red 3h.,32.6,39.16,0,whole plant,Col-0,wild type,--,PRJDB2760,153874697,0.6363,11/27/2014
DRX016652,PhyAB grown for Red 1h.,19.61,39.18,0,whole plant,Col-0,phyAB,--,PRJDB2760,118071016,0.6074,11/27/2014
DRX016653,PhyAB grown for Red 3h.,23.76,38.75,0,whole plant,Col-0,phyAB,--,PRJDB2760,165057458,0.6576,11/27/2014
DRX016654,PhyAB grown for Dark 0h.,19.02,38.4,0,whole plant,Col-0,phyAB,--,PRJDB2760,118044276,0.5851,11/27/2014
DRX019488,Illumina HiSeq 2000 paired end sequencing of SAMD00018417,47.09,33.84,0,seedlings,Col-0,wild type,--,PRJDB2938,91211162,0.9335,6/1/2016
DRX019489,Illumina HiSeq 2000 paired end sequencing of SAMD00018418,45.43,38.32,0,seedlings,Col-0,ibm2-2,--,PRJDB2938,71727119,0.921,6/1/2016
DRX026439,WT,73.04,24.48,0,whole plant,Col-0,wild type,--,PRJDB3468,10849453,0.9219,12/28/2016
DRX026440,cca1 lhy,62.08,32.19,0,whole plant,Col-0,cca1 lhy double mutants,--,PRJDB3468,11543529,0.909,12/28/2016
DRX029882,WT_1,86.65,2.92,26.32,whole plant,Col-0,--,--,PRJDB3468,3927300,0.8899,3/30/2016
DRX029883,WT_2,71.84,4.5,21.57,whole plant,Col-0,--,--,PRJDB3468,4188188,0.89,3/30/2016
DRX029884,cl_1,66.72,6.2,26.41,whole plant,--,cca1 lhy double mutant,--,PRJDB3468,4269921,0.8762,3/30/2016
DRX029885,cl_2,66.09,19.69,0,whole plant,--,cca1 lhy double mutant,--,PRJDB3468,3772279,0.8751,3/30/2016
DRX039919,ZeroHAP,4.05,26.01,0,ovule,Col-0,wild type,--,PRJDB4155,7004011,0.9124,8/16/2017
DRX039920,NPT_12HAP,4.65,25.68,0,ovule,Col-0,NPT,--,PRJDB4155,6766441,0.8972,8/16/2017
DRX039921,NPT_24HAP,3.52,26.46,0,ovule,Col-0,NPT,--,PRJDB4155,6384368,0.8953,8/16/2017
DRX039922,NPT_48HAP,4.12,29.45,0,ovule,Col-0,NPT,--,PRJDB4155,6096323,0.894,8/16/2017
DRX039923,WT_12HAP,0,31,0,ovule,Col-0,wild type,--,PRJDB4155,7265508,0.9005,8/16/2017
DRX039924,WT_24HAP,2.96,33.95,0,ovule,Col-0,wild type,--,PRJDB4155,7897368,0.9182,8/16/2017
DRX039925,WT_48HAP,2.54,24.59,0,ovule,Col-0,wild type,--,PRJDB4155,7170355,0.9162,8/16/2017
DRX039926,gcs1_12HAP,0,29.75,0,ovule,Col-0,gcs1,--,PRJDB4155,7298052,0.8976,8/16/2017
DRX039927,gcs1_24HAP,2.83,34.1,0,ovule,Col-0,gcs1,--,PRJDB4155,6655329,0.8986,8/16/2017
DRX039928,gcs1_48HAP,0,32.99,0,ovule,Col-0,gcs1,--,PRJDB4155,8174475,0.9182,8/16/2017
DRX064451,Ctrl_1,0,25.61,0,root,Col-0,--,Mock,PRJDB5141,20137756,0.9228,6/19/2017
DRX064452,N_1,0,27.1,0,root,Col-0,--,#NAME?,PRJDB5141,19725062,0.9308,6/19/2017
DRX064453,K_1,0,25.25,0,root,Col-0,--,#NAME?,PRJDB5141,19143287,0.929,6/19/2017
DRX064454,Ca_1,0,25.15,0,root,Col-0,--,#NAME?,PRJDB5141,22171345,0.9495,6/19/2017
DRX064455,Mg_1,0,25.81,0,root,Col-0,--,#NAME?,PRJDB5141,21279018,0.9262,6/19/2017
DRX064456,P_1,0,26.75,0,root,Col-0,--,#NAME?,PRJDB5141,19683272,0.9303,6/19/2017
DRX064457,S_1,0,27.37,0,root,Col-0,--,#NAME?,PRJDB5141,21640246,0.9144,6/19/2017
DRX064458,B_1,0,27.3,0,root,Col-0,--,#NAME?,PRJDB5141,21225643,0.9302,6/19/2017
DRX064459,Fe_1,0,25.16,0,root,Col-0,--,#NAME?,PRJDB5141,19547010,0.9215,6/19/2017
DRX064460,Mn_1,0,26.6,0,root,Col-0,--,#NAME?,PRJDB5141,23638602,0.92,6/19/2017
DRX064461,Zn_1,0,26.04,0,root,Col-0,--,#NAME?,PRJDB5141,19507942,0.9306,6/19/2017
DRX064462,Cu_1,0,25.77,0,root,Col-0,--,#NAME?,PRJDB5141,18186495,0.9255,6/19/2017
DRX064463,Mo_1,0,26.79,0,root,Col-0,--,#NAME?,PRJDB5141,20974220,0.9185,6/19/2017
DRX064464,Ctrl_2,0,27.37,0,root,Col-0,--,Mock,PRJDB5141,26490574,0.9505,6/19/2017
DRX064465,N_2,0,25.41,0,root,Col-0,--,#NAME?,PRJDB5141,20269190,0.9513,6/19/2017
DRX064466,K_2,0,25.08,0,root,Col-0,--,#NAME?,PRJDB5141,22799077,0.9489,6/19/2017
DRX064467,Ca_2,0,24.96,0,root,Col-0,--,#NAME?,PRJDB5141,19773879,0.9522,6/19/2017
DRX064468,Mg_2,0,26.23,0,root,Col-0,--,#NAME?,PRJDB5141,22484707,0.9463,6/19/2017
DRX064469,P_2,0,24.79,0,root,Col-0,--,#NAME?,PRJDB5141,22376503,0.9548,6/19/2017
DRX064470,S_2,0,26.64,0,root,Col-0,--,#NAME?,PRJDB5141,22880541,0.9518,6/19/2017
DRX064471,B_2,0,26.52,0,root,Col-0,--,#NAME?,PRJDB5141,22832822,0.9515,6/19/2017
DRX064472,Fe_2,0,25.17,0,root,Col-0,--,#NAME?,PRJDB5141,20475949,0.949,6/19/2017
DRX064473,Mn_2,0,25.46,0,root,Col-0,--,#NAME?,PRJDB5141,20339797,0.9524,6/19/2017
DRX064474,Zn_2,0,27.08,0,root,Col-0,--,#NAME?,PRJDB5141,18740319,0.9481,6/19/2017
DRX064475,Cu_2,0,25.12,0,root,Col-0,--,#NAME?,PRJDB5141,21365746,0.9428,6/19/2017
DRX064476,Mo_2,0,26.03,0,root,Col-0,--,#NAME?,PRJDB5141,20090585,0.952,6/19/2017
DRX066823,WT_RNA_A1,47.37,29.3,0,leaves and shoot,Col-0,wild type,--,PRJDB5192,13876017,0.9293,1/27/2017
DRX066824,WT_RNA_A2,51,32.45,0,leaves and shoot,Col-0,wild type,--,PRJDB5192,14841169,0.917,1/27/2017
DRX066825,WT_RNA_A3,65.75,28.96,0,leaves and shoot,Col-0,wild type,--,PRJDB5192,13547152,0.9258,1/27/2017
DRX066826,ibm1_RNA_A1,52.93,28.26,0,leaves and shoot,Col-0,ibm1,--,PRJDB5192,14813397,0.9282,1/27/2017
DRX066827,ibm1_RNA_A2,52.27,30.34,0,leaves and shoot,Col-0,ibm1,--,PRJDB5192,13864607,0.829,1/27/2017
DRX066828,ibm1_RNA_A3,46.88,30.37,0,leaves and shoot,Col-0,ibm1,--,PRJDB5192,12255953,0.9245,1/27/2017
DRX066829,ibm1 ldl2_RNA_A1,53.18,27.79,0,leaves and shoot,Col-0,ibm1 ldl2,--,PRJDB5192,15036304,0.9206,1/27/2017
DRX066830,ibm1 ldl2_RNA_A2,56.81,30.77,0,leaves and shoot,Col-0,ibm1 ldl2,--,PRJDB5192,13340000,0.8624,1/27/2017
DRX066831,ibm1 ldl2_RNA_A3,55.84,28.53,0,leaves and shoot,Col-0,ibm1 ldl2,--,PRJDB5192,13949226,0.924,1/27/2017
DRX066832,WT_RNA_B1,45.7,30.86,0,leaves and shoot,Col-0,wild type,--,PRJDB5192,14026572,0.8632,1/27/2017
DRX066833,WT_RNA_B2,43.79,32.92,0,leaves and shoot,Col-0,wild type,--,PRJDB5192,16653593,0.849,1/27/2017
DRX066834,WT_RNA_B3,43.24,32.04,0,leaves and shoot,Col-0,wild type,--,PRJDB5192,15664386,0.8598,1/27/2017
DRX066835,ldl2_RNA_B1,43.2,32.17,0,leaves and shoot,Col-0,ldl2,--,PRJDB5192,14315521,0.8852,1/27/2017
DRX066836,ldl2_RNA_B2,39.48,31.13,0,leaves and shoot,Col-0,ldl2,--,PRJDB5192,15423278,0.8733,1/27/2017
DRX066837,ldl2_RNA_B3,45.66,30.51,0,leaves and shoot,Col-0,ldl2,--,PRJDB5192,15758402,0.8581,1/27/2017
DRX066838,suvh456_RNA_B1,41.64,33.2,0,leaves and shoot,Col-0,suvh456,--,PRJDB5192,17577240,0.8842,1/27/2017
DRX066839,suvh456_RNA_B2,41.28,33.84,0,leaves and shoot,Col-0,suvh456,--,PRJDB5192,16234653,0.854,1/27/2017
DRX066840,suvh456_RNA_B3,43.31,33.04,0,leaves and shoot,Col-0,suvh456,--,PRJDB5192,17372121,0.8521,1/27/2017
DRX078165,SAMD00071766,54.75,26.33,0,whole plant,Col-0,wild type,Mock,PRJDB5481,10811031,0.8891,12/8/2017
DRX078166,SAMD00071767,49.1,30.24,0,whole plant,Col-0,wild type,Mock,PRJDB5481,11414565,0.9355,12/8/2017
DRX078167,SAMD00071768,48.45,24.14,0,whole plant,Col-0,wild type,Mock,PRJDB5481,10692573,0.94,12/8/2017
DRX078168,SAMD00071769,50.65,31.4,0,whole plant,Col-0,wild type,LPS,PRJDB5481,10642849,0.9451,12/8/2017
DRX078169,SAMD00071770,52.97,28.32,0,whole plant,Col-0,wild type,LPS,PRJDB5481,9945969,0.9386,12/8/2017
DRX078170,SAMD00071771,48.65,29.21,0,whole plant,Col-0,wild type,LPS,PRJDB5481,9802590,0.9482,12/8/2017
DRX078171,SAMD00071772,32.76,25.25,0,whole plant,Col-0,atlbr-2,--,PRJDB5481,10930370,0.945,12/8/2017
DRX078172,SAMD00071773,40.92,24.95,0,whole plant,Col-0,atlbr-2,--,PRJDB5481,10568995,0.948,12/8/2017
DRX078173,SAMD00071774,35.37,28.06,0,whole plant,Col-0,atlbr-2,--,PRJDB5481,10887374,0.9403,12/8/2017
DRX078174,SAMD00071775,59.12,32.56,0,whole plant,Col-0,atlbr-2,--,PRJDB5481,12017778,0.9402,12/8/2017
DRX078175,SAMD00071776,56.07,34.21,0,whole plant,Col-0,atlbr-2,--,PRJDB5481,12552450,0.9455,12/8/2017
DRX078176,SAMD00071777,60.95,29.71,0,whole plant,Col-0,atlbr-2,--,PRJDB5481,11208054,0.9487,12/8/2017
DRX084079,WT_mock_replicate1,38.07,29.39,0,seedlings,Col-0,wild type,Mock,PRJDB5672,19551375,0.8544,1/26/2018
DRX084080,WT_mock_replicate2,42.57,28.17,0,seedlings,Col-0,wild type,Mock,PRJDB5672,20164518,0.8719,1/26/2018
DRX084081,WT_mock_replicate3,37.37,31.23,0,seedlings,Col-0,wild type,Mock,PRJDB5672,32884314,0.8023,1/26/2018
DRX084082,WT_IAA_replicate1,36.35,31.31,0,seedlings,Col-0,wild type,IAA,PRJDB5672,27997673,0.7994,1/26/2018
DRX084083,WT_IAA_replicate2,39.49,30.75,0,seedlings,Col-0,wild type,IAA,PRJDB5672,33243346,0.814,1/26/2018
DRX084084,WT_IAA_replicate3,39.28,29.86,0,seedlings,Col-0,wild type,IAA,PRJDB5672,30281274,0.8853,1/26/2018
DRX084085,WT_cvxIAA_replicate1,43.06,28.15,0,seedlings,Col-0,wild type,cvxIAA,PRJDB5672,25252507,0.8733,1/26/2018
DRX084086,WT_cvxIAA_replicate2,44.53,30.14,0,seedlings,Col-0,wild type,cvxIAA,PRJDB5672,23966726,0.8356,1/26/2018
DRX084087,WT_cvxIAA_replicate3,41.95,28.96,0,seedlings,Col-0,wild type,cvxIAA,PRJDB5672,18187145,0.9135,1/26/2018
DRX084088,35S-TIR1_mock_replicate1,37.46,30.01,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,18906280,0.9089,1/26/2018
DRX084089,35S-TIR1_mock_replicate2,36.28,28.82,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,20099675,0.9127,1/26/2018
DRX084090,35S-TIR1_mock_replicate3,35.86,26.12,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,17956613,0.9103,1/26/2018
DRX084091,35S-TIR1_IAA_replicate1,32.43,30.5,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,25783850,0.8192,1/26/2018
DRX084092,35S-TIR1_IAA_replicate2,33.89,27.78,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,16749688,0.8328,1/26/2018
DRX084093,35S-TIR1_IAA_replicate3,35.27,28.39,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,15722817,0.8397,1/26/2018
DRX084094,35S-TIR1_cvxIAA_replicate1,39.16,30.86,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,20266863,0.8222,1/26/2018
DRX084095,35S-TIR1_cvxIAA_replicate2,38.99,27.75,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,18619258,0.9119,1/26/2018
DRX084096,35S-TIR1_cvxIAA_replicate3,35.48,29.11,0,seedlings,Col-0,35S-TIR1,--,PRJDB5672,21936726,0.9153,1/26/2018
DRX084097,35S-ccvTIR1_mock_replicate1,40.16,26.97,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20368375,0.9135,1/26/2018
DRX084098,35S-ccvTIR1_mock_replicate2,40.31,27.28,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,18989475,0.9138,1/26/2018
DRX084099,35S-ccvTIR1_mock_replicate3,39.84,27.58,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20562106,0.9133,1/26/2018
DRX084100,35S-ccvTIR1_IAA_replicate1,38.78,29.79,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,23916293,0.9158,1/26/2018
DRX084101,35S-ccvTIR1_IAA_replicate2,40.29,28.34,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20316123,0.9142,1/26/2018
DRX084102,35S-ccvTIR1_IAA_replicate3,38.98,30.48,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,19893291,0.9132,1/26/2018
DRX084103,35S-ccvTIR1_cvxIAA_replicate1,36.39,29.82,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,17035803,0.9019,1/26/2018
DRX084104,35S-ccvTIR1_cvxIAA_replicate2,40.32,28.52,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,20932307,0.9154,1/26/2018
DRX084105,35S-ccvTIR1_cvxIAA_replicate3,42.97,28.38,0,seedlings,Col-0,35S-ccvTIR1,--,PRJDB5672,22948584,0.9188,1/26/2018
DRX084242,BL,0,30.38,0,seed,RIL,--,--,PRJDB5680,5327062,0.8654,9/1/2017
DRX084243,BS,0,32.62,0,seed,RIL,--,--,PRJDB5680,6383174,0.8763,9/1/2017
DRX084244,CN,0,52.3,0,seed,Col-0,--,--,PRJDB5680,5434030,0.8527,9/1/2017
DRX084245,CP,0,35.08,0,seed,Col-0,--,--,PRJDB5680,5447504,0.8627,9/1/2017
DRX084246,EN,0,53.27,0,seed,Est-1,--,--,PRJDB5680,6167959,0.8281,9/1/2017
DRX084247,EP,0,35.07,0,seed,Est-1,--,--,PRJDB5680,5378826,0.844,9/1/2017
DRX092371,DRS057416,83.93,15.4,0,cultured  cell,T87,--,--,PRJDB5913,27147925,0.8922,1/11/2018
DRX092372,DRS057417,73.77,14.65,0,cultured  cell,T87,--,--,PRJDB5913,27361314,0.8893,1/11/2018
DRX092373,DRS057418,152.93,8.31,0,cultured  cell,T87,--,--,PRJDB5913,9624584,0.7546,1/11/2018
DRX092374,DRS057419,166.78,8.34,0,cultured  cell,T87,--,--,PRJDB5913,9874852,0.7436,1/11/2018
DRX092375,DRS057420,27.33,19.72,0,cultured  cell,T87,--,--,PRJDB5913,60296701,0.7835,1/11/2018
DRX092376,DRS057421,28.87,18.93,0,cultured  cell,T87,--,--,PRJDB5913,78622559,0.7817,1/11/2018
DRX092377,DRS057422,82.1,15.06,0,cultured  cell,T87,--,--,PRJDB5913,49371705,0.5891,1/11/2018
DRX092378,DRS057423,89.19,14.58,0,cultured  cell,T87,--,--,PRJDB5913,30333564,0.5783,1/11/2018
DRX092687,DRS057408,11.01,14.87,0,cultured  cell,T87,--,Mock,PRJDB6107,39921462,0.737,1/11/2018
DRX092688,DRS057409,11.73,18.07,0,cultured  cell,T87,--,Mock,PRJDB6107,37695030,0.7363,1/11/2018
DRX092689,DRS057410,11.32,19.58,0,cultured  cell,T87,--,BrU 1h,PRJDB6107,40181486,0.7816,1/11/2018
DRX092690,DRS057411,10.4,15.25,0,cultured  cell,T87,--,BrU 1h,PRJDB6107,38758426,0.7275,1/11/2018
DRX092691,DRS057412,13.94,12.37,0,cultured  cell,T87,--,BrU 3h,PRJDB6107,33632265,0.681,1/11/2018
DRX092692,DRS057413,14.87,13.67,0,cultured  cell,T87,--,BrU 3h,PRJDB6107,39660283,0.6575,1/11/2018
DRX092693,DRS057414,23.12,18.21,0,cultured  cell,T87,--,BrU 6h,PRJDB6107,45644542,0.7161,1/11/2018
DRX092694,DRS057415,24.93,17.76,0,cultured  cell,T87,--,BrU 6h,PRJDB6107,44481526,0.7193,1/11/2018
DRX099517,DRS050613,0,14.45,0,root,Col-0,wild type,Mock,PRJDB6370,3249209,0.9453,9/28/2017
DRX099518,DRS050614,0,15.69,0,root,Col-0,wild type,Mock,PRJDB6370,3990947,0.9492,9/28/2017
DRX099519,DRS050615,0,18.58,0,root,Col-0,wild type,Mock,PRJDB6370,3785596,0.949,9/28/2017
DRX099520,DRS050616,0,16.38,0,root,Col-0,--,azomethine (boron deprivation) 1h,PRJDB6370,3019484,0.9468,9/28/2017
DRX099521,DRS050617,0,14.37,0,root,Col-0,--,azomethine (boron deprivation) 1h,PRJDB6370,3590038,0.9524,9/28/2017
DRX099522,DRS050618,5.06,19.84,0,root,Col-0,--,azomethine (boron deprivation) 1h,PRJDB6370,4085254,0.9469,9/28/2017
DRX099523,DRS050619,0,17.77,0,root,Col-0,--,azomethine (boron deprivation) +  boric acid 1h,PRJDB6370,3382899,0.9526,9/28/2017
DRX099524,DRS050620,0,18.47,0,root,Col-0,--,azomethine (boron deprivation) +  boric acid 1h,PRJDB6370,3832505,0.9484,9/28/2017
DRX099525,DRS050621,0,18.24,0,root,Col-0,--,azomethine (boron deprivation) +  boric acid 1h,PRJDB6370,3718709,0.9484,9/28/2017
DRX111360,DRS057279,53.9,19.36,0,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,9404763,0.6593,1/9/2018
DRX111361,DRS057280,59.99,19.96,0,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,7008129,0.7006,1/9/2018
DRX111362,DRS057281,53.58,24.35,0,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,12252968,0.769,1/9/2018
DRX111363,DRS057282,61.37,19.65,0,flower bud,Ler,ag-1 sup-1 clv3-2 triple mutant,--,PRJDB6530,6806409,0.6868,1/9/2018
DRX111364,DRS057283,69.2,21.51,0,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,4970885,0.6203,1/9/2018
DRX111365,DRS057284,65.11,20.03,0,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,9962703,0.6927,1/9/2018
DRX111366,DRS057285,63.65,17.36,0,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,8367641,0.6559,1/9/2018
DRX111367,DRS057286,93.86,18.58,0,flower bud,Ler,sup-1 clv3-2 double mutant,--,PRJDB6530,8368341,0.6655,1/9/2018
ERX1041908,bZIP29_1,0.82,22.61,0,root tip,--,Pend:bZIP29-SRDX,--,PRJEB9909,20208805,0.8226,10/27/2016
ERX1041909,bZIP29_2,2.11,23.02,0,root tip,--,Pend:bZIP29-SRDX,--,PRJEB9909,22474737,0.8359,10/27/2016
ERX1041910,bZIP29_3,2.11,22.85,0,root tip,--,Pend:bZIP29-SRDX,--,PRJEB9909,21590602,0.6886,10/27/2016
ERX1041911,WT_1,0,20.67,0,root tip,--,wild type,--,PRJEB9909,20598406,0.8432,10/27/2016
ERX1041912,WT_2,0,22.31,0,root tip,--,wild type,--,PRJEB9909,25554515,0.7388,10/27/2016
ERX1041913,WT_3,0,23.38,0,root tip,--,wild type,--,PRJEB9909,22254757,0.8345,10/27/2016
ERX1043124,Col-0_mRNAseq_rep1,86.87,23.54,0,leaves,Col-0,wild type,--,PRJEB9919,10710447,0.9477,7/23/2015
ERX1043125,Col-0_mRNAseq_rep2,92.64,27.25,0,leaves,Col-0,wild type,--,PRJEB9919,7958548,0.948,7/23/2015
ERX1043126,Col-0_mRNAseq_rep3,72.59,28.48,0,leaves,Col-0,wild type,--,PRJEB9919,10905407,0.9417,7/23/2015
ERX1043128,met1-3_mRNAseq_rep2,84.57,28.01,0,leaves,Col-0,met1-3 mutant,--,PRJEB9919,14328071,0.9316,7/23/2015
ERX1043129,met1-3_mRNAseq_rep3,66.66,31.88,0,leaves,Col-0,met1-3 mutant,--,PRJEB9919,14684343,0.9356,7/23/2015
ERX1043130,Col-0xmet1-3_mRNAseq_rep1,88.38,29.21,0,leaves,Col-0,wild type x met1-3 mutant,--,PRJEB9919,8597602,0.9422,7/23/2015
ERX1043132,Col-0xmet1-3_mRNAseq_rep3,75.74,29.9,0,leaves,Col-0,wild type x met1-3 mutant,--,PRJEB9919,13141445,0.948,7/23/2015
ERX1043133,met1-3xCol-0_mRNAseq_rep1,86.21,29.92,0,leaves,Col-0,met1-3 mutant x wild type,--,PRJEB9919,7792900,0.9409,7/23/2015
ERX1043134,met1-3xCol-0_mRNAseq_rep2,88.08,26.83,0,leaves,Col-0,met1-3 mutant x wild type,--,PRJEB9919,7063795,0.9358,7/23/2015
ERX1043135,met1-3xCol-0_mRNAseq_rep3,82.98,31.29,0,leaves,Col-0,met1-3 mutant x wild type,--,PRJEB9919,13289455,0.9444,7/23/2015
ERX1104197,SAMEA104387024,69.74,35.95,0,leaves,Col-0,--,Mock,PRJEB10930,21412771,0.9302,7/4/2017
ERX1104198,SAMEA104387018,75.3,38.44,0,leaves,Col-0,--,Mock,PRJEB10930,17871983,0.9294,7/4/2017
ERX1104199,SAMEA104387013,79.9,37.54,0,leaves,Col-0,--,drought,PRJEB10930,16738977,0.9273,7/4/2017
ERX1104200,SAMEA104387025,84.17,37.83,0,leaves,Col-0,--,drought,PRJEB10930,17067335,0.9293,7/4/2017
ERX1104201,SAMEA104387023,66.79,33.7,0,leaves,Col-0,--,Mock,PRJEB10930,15217415,0.9048,7/4/2017
ERX1104202,SAMEA104387029,67.92,33.55,0,leaves,Col-0,--,Mock,PRJEB10930,14363291,0.9127,7/4/2017
ERX1104203,SAMEA104387010,69.94,31.12,0,leaves,Col-0,--,Mock,PRJEB10930,14347155,0.9134,7/4/2017
ERX1104204,SAMEA104387027,67.66,30.03,0,leaves,Col-0,--,drought,PRJEB10930,12616237,0.913,7/4/2017
