Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue_raw,TotalReads,UniqueMappedRate,ReleaseDate,Count,Tissue,VegetativeRepro,AboveBelow
DRX014509,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under saline stress conditions,/,ros1dml2;3 mutant,/,whole plant,10919328,0.92,4/30/2015,,other,other,other
DRX014761,PRJDB2380,Col-0 rep2,27122350,wild type,Col-0,seedlings,14640751,0.75,1/2/2017,,other,other,other
DRX016650,PRJDB2760,WT grown for Red 1h.,25512548,wild type,Col-0,whole plant,192531285,0.75,11/27/2014,,other,other,other
DRX019488,PRJDB2938,Arabidopsis WT-Col RNA Seq 1,/,wild type,Col-0,seedlings,91211162,0.93,6/1/2016,,other,other,other
DRX019489,PRJDB2938,Arabidopsis ibm2 RNA Seq 1,/,ibm2-2,Col-0,seedlings,71727119,0.92,6/1/2016,,other,other,other
DRX026439,PRJDB3468,WT,26941090,wild type,Col-0,whole plant,10849453,0.92,12/28/2016,,other,other,other
DRX026440,PRJDB3468,cca1 lhy,26941090,cca1 lhy double mutants,Col-0,whole plant,11543529,0.91,12/28/2016,,other,other,other
DRX028720,PRJDB3784,Arabidopsis_Vegetative shoot_2C-1,/,/,Col-0,meristems and young leaves,10644827,0.87,12/25/2018,,other,other,other
DRX028721,PRJDB3784,Arabidopsis_Vegetative shoot_2C-2,/,/,Col-0,meristems and young leaves,10967359,0.86,12/25/2018,,other,other,other
DRX028722,PRJDB3784,Arabidopsis_Vegetative shoot_2C-3,/,/,Col-0,meristems and young leaves,10452681,0.87,12/25/2018,,other,other,other
DRX028723,PRJDB3784,Arabidopsis_Vegetative shoot_4C-1,/,/,Col-0,meristems and young leaves,10052016,0.87,12/25/2018,,other,other,other
DRX028724,PRJDB3784,Arabidopsis_Vegetative shoot_4C-2,/,/,Col-0,meristems and young leaves,9131021,0.86,12/25/2018,,other,other,other
DRX028725,PRJDB3784,Arabidopsis_Vegetative shoot_4C-3,/,/,Col-0,meristems and young leaves,10168510,0.86,12/25/2018,,other,other,other
DRX028726,PRJDB3784,Arabidopsis_Inflorescence_2C-1,/,/,Col-0,inflorescence meristems,33022273,0.91,12/25/2018,,other,other,other
DRX028727,PRJDB3784,Arabidopsis_Inflorescence_2C-2,/,/,Col-0,inflorescence meristems,38661112,0.8,12/25/2018,,other,other,other
DRX028728,PRJDB3784,Arabidopsis_Inflorescence_2C-3,/,/,Col-0,inflorescence meristems,35755684,0.91,12/25/2018,,other,other,other
DRX028729,PRJDB3784,Arabidopsis_Inflorescence_4C-1,/,/,Col-0,inflorescence meristems,33642970,0.91,12/25/2018,,other,other,other
DRX028730,PRJDB3784,Arabidopsis_Inflorescence_4C-2,/,/,Col-0,inflorescence meristems,25902619,0.91,12/25/2018,,other,other,other
DRX028731,PRJDB3784,Arabidopsis_Inflorescence_4C-3,/,/,Col-0,inflorescence meristems,34291716,0.91,12/25/2018,,other,other,other
DRX029882,PRJDB3468,WT_1,26941090,/,Col-0,whole plant,3927300,0.89,3/30/2016,,other,other,other
DRX029883,PRJDB3468,WT_2,26941090,/,Col-0,whole plant,4188188,0.89,3/30/2016,,other,other,other
DRX029884,PRJDB3468,cl_1,26941090,cca1 lhy double mutant,/,whole plant,4269921,0.88,3/30/2016,,other,other,other
DRX029885,PRJDB3468,cl_2,26941090,cca1 lhy double mutant,/,whole plant,3772279,0.88,3/30/2016,,other,other,other
DRX039919,PRJDB4155,ZeroHAP,/,wild type,Col-0,ovule,7004011,0.91,8/16/2017,,other,other,other
DRX039920,PRJDB4155,NPT_12HAP,/,NPT,Col-0,ovule,6766441,0.9,8/16/2017,,other,other,other
DRX039921,PRJDB4155,NPT_24HAP,/,NPT,Col-0,ovule,6384368,0.9,8/16/2017,,other,other,other
DRX039922,PRJDB4155,NPT_48HAP,/,NPT,Col-0,ovule,6096323,0.89,8/16/2017,,other,other,other
DRX039923,PRJDB4155,WT_12HAP,/,wild type,Col-0,ovule,7265508,0.9,8/16/2017,,other,other,other
DRX039924,PRJDB4155,WT_24HAP,/,wild type,Col-0,ovule,7897368,0.92,8/16/2017,,other,other,other
DRX039925,PRJDB4155,WT_48HAP,/,wild type,Col-0,ovule,7170355,0.92,8/16/2017,,other,other,other
DRX039926,PRJDB4155,gcs1_12HAP,/,gcs1,Col-0,ovule,7298052,0.9,8/16/2017,,other,other,other
DRX039927,PRJDB4155,gcs1_24HAP,/,gcs1,Col-0,ovule,6655329,0.9,8/16/2017,,other,other,other
DRX039928,PRJDB4155,gcs1_48HAP,/,gcs1,Col-0,ovule,8174475,0.92,8/16/2017,,other,other,other
DRX051954,PRJDB4660,Arabidopsis thaliana wild type,/,wild type,/,seedlings,45330258,0.83,3/16/2018,,other,other,other
DRX051955,PRJDB4660,hxk1 mutant(SAIL_680_D02),/,hxk1 mutant (SAIL_680_D02),/,seedlings,53679002,0.88,3/16/2018,,other,other,other
DRX051956,PRJDB4660,max2 mutant(max2-1),/,max2 mutant (max2-1),/,seedlings,40221737,0.9,3/16/2018,,other,other,other
DRX060003,PRJDB4993,Br-0_A1,/,/,Br-0,root,6888369,0.83,7/17/2018,1662,Root,Root,Below
DRX060004,PRJDB4993,Br-0_A2,/,/,Br-0,root,7416418,0.85,7/17/2018,1662,Root,Root,Below
DRX060005,PRJDB4993,Br-0_A3,/,/,Br-0,root,7520634,0.81,7/17/2018,1662,Root,Root,Below
DRX060006,PRJDB4993,Br-0_C1,/,/,Br-0,root,7799229,0.83,7/17/2018,1662,Root,Root,Below
DRX060007,PRJDB4993,Br-0_C2,/,/,Br-0,root,8928357,0.83,7/17/2018,1662,Root,Root,Below
DRX060008,PRJDB4993,Br-0_C3,/,/,Br-0,root,7223583,0.84,7/17/2018,1662,Root,Root,Below
DRX060009,PRJDB4993,Col-0_A1,/,/,Col-0,root,7437828,0.93,7/17/2018,1662,Root,Root,Below
DRX060010,PRJDB4993,Col-0_A2,/,/,Col-0,root,3329883,0.93,7/17/2018,1662,Root,Root,Below
DRX060011,PRJDB4993,Col-0_A3,/,/,Col-0,root,6939746,0.93,7/17/2018,1662,Root,Root,Below
DRX060012,PRJDB4993,Col-0_C1,/,/,Col-0,root,8028261,0.92,7/17/2018,1662,Root,Root,Below
DRX060013,PRJDB4993,Col-0_C2,/,/,Col-0,root,7570866,0.92,7/17/2018,1662,Root,Root,Below
DRX060014,PRJDB4993,Col-0_C3,/,/,Col-0,root,7463270,0.91,7/17/2018,1662,Root,Root,Below
DRX060015,PRJDB4993,Dra-2_A1,/,/,Dra-2,root,7057659,0.87,7/17/2018,1662,Root,Root,Below
DRX060016,PRJDB4993,Dra-2_A2,/,/,Dra-2,root,6619539,0.87,7/17/2018,1662,Root,Root,Below
DRX060017,PRJDB4993,Dra-2_A3,/,/,Dra-2,root,7293100,0.87,7/17/2018,1662,Root,Root,Below
DRX060018,PRJDB4993,Dra-2_C1,/,/,Dra-2,root,7843067,0.85,7/17/2018,1662,Root,Root,Below
DRX060019,PRJDB4993,Dra-2_C2,/,/,Dra-2,root,6966975,0.85,7/17/2018,1662,Root,Root,Below
DRX060020,PRJDB4993,Dra-2_C3,/,/,Dra-2,root,7727172,0.85,7/17/2018,1662,Root,Root,Below
DRX060021,PRJDB4993,Shigu-2_A1,/,/,Shigu-2,root,8079907,0.85,7/17/2018,1662,Root,Root,Below
DRX060022,PRJDB4993,Shigu-2_A2,/,/,Shigu-2,root,6989410,0.85,7/17/2018,1662,Root,Root,Below
DRX060023,PRJDB4993,Shigu-2_A3,/,/,Shigu-2,root,7309921,0.84,7/17/2018,1662,Root,Root,Below
DRX060024,PRJDB4993,Shigu-2_C1,/,/,Shigu-2,root,8003055,0.82,7/17/2018,1662,Root,Root,Below
DRX060025,PRJDB4993,Shigu-2_C2,/,/,Shigu-2,root,7760367,0.83,7/17/2018,1662,Root,Root,Below
DRX060026,PRJDB4993,Shigu-2_C3,/,/,Shigu-2,root,7965607,0.84,7/17/2018,1662,Root,Root,Below
DRX060027,PRJDB4993,Valsi-1_A1,/,/,Valsi-1,root,7149904,0.87,7/17/2018,1662,Root,Root,Below
DRX060028,PRJDB4993,Valsi-1_A2,/,/,Valsi-1,root,6609270,0.87,7/17/2018,1662,Root,Root,Below
DRX060029,PRJDB4993,Valsi-1_A3,/,/,Valsi-1,root,7076890,0.87,7/17/2018,1662,Root,Root,Below
DRX060030,PRJDB4993,Valsi-1_C1,/,/,Valsi-1,root,8564052,0.85,7/17/2018,1662,Root,Root,Below
DRX060031,PRJDB4993,Valsi-1_C2,/,/,Valsi-1,root,8203195,0.85,7/17/2018,1662,Root,Root,Below
DRX060032,PRJDB4993,Valsi-1_C3,/,/,Valsi-1,root,8420678,0.85,7/17/2018,1662,Root,Root,Below
DRX060033,PRJDB4993,Wei-0_A1,/,/,Wei-0,root,6642560,0.87,7/17/2018,1662,Root,Root,Below
DRX060034,PRJDB4993,Wei-0_A2,/,/,Wei-0,root,6576830,0.87,7/17/2018,1662,Root,Root,Below
DRX060035,PRJDB4993,Wei-0_A3,/,/,Wei-0,root,6164424,0.86,7/17/2018,1662,Root,Root,Below
DRX060036,PRJDB4993,Wei-0_C1,/,/,Wei-0,root,7368036,0.86,7/17/2018,1662,Root,Root,Below
DRX060037,PRJDB4993,Wei-0_C2,/,/,Wei-0,root,8218828,0.86,7/17/2018,1662,Root,Root,Below
DRX060038,PRJDB4993,Wei-0_C3,/,/,Wei-0,root,8221041,0.86,7/17/2018,1662,Root,Root,Below
DRX061781,PRJDB5125,L144drb2,27995376,drb2,Col-0,seedlings,17649298,0.85,9/6/2018,,other,other,other
DRX061782,PRJDB5125,L145drb3,27995376,drb3,Col-0,seedlings,11350593,0.89,9/6/2018,,other,other,other
DRX061784,PRJDB5125,L150DRB3ox,27995376,DRB3ox,Col-0,seedlings,6725771,0.86,9/6/2018,,other,other,other
DRX064451,PRJDB5141,Ctrl_1,28586097,/,Col-0,root,20137756,0.92,6/19/2017,1662,Root,Root,Below
DRX064452,PRJDB5141,N_1,28586097,/,Col-0,root,19725062,0.93,6/19/2017,1662,Root,Root,Below
DRX064453,PRJDB5141,K_1,28586097,/,Col-0,root,19143287,0.93,6/19/2017,1662,Root,Root,Below
DRX064454,PRJDB5141,Ca_1,28586097,/,Col-0,root,22171345,0.95,6/19/2017,1662,Root,Root,Below
DRX064455,PRJDB5141,Mg_1,28586097,/,Col-0,root,21279018,0.93,6/19/2017,1662,Root,Root,Below
DRX064456,PRJDB5141,P_1,28586097,/,Col-0,root,19683272,0.93,6/19/2017,1662,Root,Root,Below
DRX064457,PRJDB5141,S_1,28586097,/,Col-0,root,21640246,0.91,6/19/2017,1662,Root,Root,Below
DRX064458,PRJDB5141,B_1,28586097,/,Col-0,root,21225643,0.93,6/19/2017,1662,Root,Root,Below
DRX064459,PRJDB5141,Fe_1,28586097,/,Col-0,root,19547010,0.92,6/19/2017,1662,Root,Root,Below
DRX064460,PRJDB5141,Mn_1,28586097,/,Col-0,root,23638602,0.92,6/19/2017,1662,Root,Root,Below
DRX064461,PRJDB5141,Zn_1,28586097,/,Col-0,root,19507942,0.93,6/19/2017,1662,Root,Root,Below
DRX064462,PRJDB5141,Cu_1,28586097,/,Col-0,root,18186495,0.93,6/19/2017,1662,Root,Root,Below
DRX064463,PRJDB5141,Mo_1,28586097,/,Col-0,root,20974220,0.92,6/19/2017,1662,Root,Root,Below
DRX064464,PRJDB5141,Ctrl_2,28586097,/,Col-0,root,26490574,0.95,6/19/2017,1662,Root,Root,Below
DRX064465,PRJDB5141,N_2,28586097,/,Col-0,root,20269190,0.95,6/19/2017,1662,Root,Root,Below
DRX064466,PRJDB5141,K_2,28586097,/,Col-0,root,22799077,0.95,6/19/2017,1662,Root,Root,Below
DRX064467,PRJDB5141,Ca_2,28586097,/,Col-0,root,19773879,0.95,6/19/2017,1662,Root,Root,Below
DRX064468,PRJDB5141,Mg_2,28586097,/,Col-0,root,22484707,0.95,6/19/2017,1662,Root,Root,Below
DRX064469,PRJDB5141,P_2,28586097,/,Col-0,root,22376503,0.96,6/19/2017,1662,Root,Root,Below
DRX064470,PRJDB5141,S_2,28586097,/,Col-0,root,22880541,0.95,6/19/2017,1662,Root,Root,Below
DRX064471,PRJDB5141,B_2,28586097,/,Col-0,root,22832822,0.95,6/19/2017,1662,Root,Root,Below
DRX064472,PRJDB5141,Fe_2,28586097,/,Col-0,root,20475949,0.95,6/19/2017,1662,Root,Root,Below
DRX064473,PRJDB5141,Mn_2,28586097,/,Col-0,root,20339797,0.95,6/19/2017,1662,Root,Root,Below
DRX064474,PRJDB5141,Zn_2,28586097,/,Col-0,root,18740319,0.95,6/19/2017,1662,Root,Root,Below
DRX064475,PRJDB5141,Cu_2,28586097,/,Col-0,root,21365746,0.94,6/19/2017,1662,Root,Root,Below
DRX064476,PRJDB5141,Mo_2,28586097,/,Col-0,root,20090585,0.95,6/19/2017,1662,Root,Root,Below
DRX065024,PRJDB5175,Col_MS_1,/,wild type,Col-0,root,7992921,0.79,9/6/2018,1662,Root,Root,Below
DRX065025,PRJDB5175,Col_MS_2,/,wild type,Col-0,root,8282396,0.76,9/6/2018,1662,Root,Root,Below
DRX065027,PRJDB5175,MybOX_MS_2,/,MybOX,Col-0,root,8049674,0.75,9/6/2018,1662,Root,Root,Below
DRX065028,PRJDB5175,myb30_MS_1,/,myb30-2,Col-0,root,8160721,0.8,9/6/2018,1662,Root,Root,Below
DRX065029,PRJDB5175,myb30_MS_2,/,myb30-2,Col-0,root,8273459,0.77,9/6/2018,1662,Root,Root,Below
DRX065030,PRJDB5175,Col_H2O_1,/,wild type,Col-0,root,6330523,0.76,9/6/2018,1662,Root,Root,Below
DRX065031,PRJDB5175,Col_H2O_2,/,wild type,Col-0,root,8805636,0.8,9/6/2018,1662,Root,Root,Below
DRX065032,PRJDB5175,myb30_H2O_1,/,myb30-2,Col-0,root,7187583,0.83,9/6/2018,1662,Root,Root,Below
DRX065033,PRJDB5175,myb30_H2O_2,/,myb30-2,Col-0,root,9097713,0.83,9/6/2018,1662,Root,Root,Below
DRX065034,PRJDB5175,MybOX_H2O_1,/,MybOX,Col-0,root,8633303,0.76,9/6/2018,1662,Root,Root,Below
DRX065035,PRJDB5175,MybOX_H2O_2,/,MybOX,Col-0,root,8625359,0.8,9/6/2018,1662,Root,Root,Below
DRX066823,PRJDB5192,WT_RNA_A1,/,wild type,Col-0,/,13876017,0.93,1/27/2017,,other,other,other
DRX066824,PRJDB5192,WT_RNA_A2,/,wild type,Col-0,/,14841169,0.92,1/27/2017,,other,other,other
DRX066825,PRJDB5192,WT_RNA_A3,/,wild type,Col-0,/,13547152,0.93,1/27/2017,,other,other,other
DRX066826,PRJDB5192,ibm1_RNA_A1,/,ibm1,Col-0,/,14813397,0.93,1/27/2017,,other,other,other
DRX066827,PRJDB5192,ibm1_RNA_A2,/,ibm1,Col-0,/,13864607,0.83,1/27/2017,,other,other,other
DRX066828,PRJDB5192,ibm1_RNA_A3,/,ibm1,Col-0,/,12255953,0.93,1/27/2017,,other,other,other
DRX066829,PRJDB5192,ibm1 ldl2_RNA_A1,/,ibm1 ldl2,Col-0,/,15036304,0.92,1/27/2017,,other,other,other
DRX066830,PRJDB5192,ibm1 ldl2_RNA_A2,/,ibm1 ldl2,Col-0,/,13340000,0.86,1/27/2017,,other,other,other
DRX066831,PRJDB5192,ibm1 ldl2_RNA_A3,/,ibm1 ldl2,Col-0,/,13949226,0.92,1/27/2017,,other,other,other
DRX066832,PRJDB5192,WT_RNA_B1,/,wild type,Col-0,/,14026572,0.86,1/27/2017,,other,other,other
DRX066833,PRJDB5192,WT_RNA_B2,/,wild type,Col-0,/,16653593,0.85,1/27/2017,,other,other,other
DRX066834,PRJDB5192,WT_RNA_B3,/,wild type,Col-0,/,15664386,0.86,1/27/2017,,other,other,other
DRX066835,PRJDB5192,ldl2_RNA_B1,/,ldl2,Col-0,/,14315521,0.89,1/27/2017,,other,other,other
DRX066836,PRJDB5192,ldl2_RNA_B2,/,ldl2,Col-0,/,15423278,0.87,1/27/2017,,other,other,other
DRX066837,PRJDB5192,ldl2_RNA_B3,/,ldl2,Col-0,/,15758402,0.86,1/27/2017,,other,other,other
DRX066838,PRJDB5192,suvh456_RNA_B1,/,suvh456,Col-0,/,17577240,0.88,1/27/2017,,other,other,other
DRX066839,PRJDB5192,suvh456_RNA_B2,/,suvh456,Col-0,/,16234653,0.85,1/27/2017,,other,other,other
DRX066840,PRJDB5192,suvh456_RNA_B3,/,suvh456,Col-0,/,17372121,0.85,1/27/2017,,other,other,other
DRX078165,PRJDB5481,Arabidopsis thaliana WT_untreated_rep1,/,wild type,Col-0,whole plant,10811031,0.89,12/8/2017,,other,other,other
DRX078166,PRJDB5481,Arabidopsis thaliana WT_untreated_rep2,/,wild type,Col-0,whole plant,11414565,0.94,12/8/2017,,other,other,other
DRX078167,PRJDB5481,Arabidopsis thaliana WT_untreated_rep3,/,wild type,Col-0,whole plant,10692573,0.94,12/8/2017,,other,other,other
DRX078168,PRJDB5481,Arabidopsis thaliana WT_LPStreated_rep1,/,wild type,Col-0,whole plant,10642849,0.95,12/8/2017,,other,other,other
DRX078169,PRJDB5481,Arabidopsis thaliana WT_LPStreated_rep2,/,wild type,Col-0,whole plant,9945969,0.94,12/8/2017,,other,other,other
DRX078170,PRJDB5481,Arabidopsis thaliana WT_LPStreated_rep3,/,wild type,Col-0,whole plant,9802590,0.95,12/8/2017,,other,other,other
DRX078171,PRJDB5481,Arabidopsis thaliana atlbr-2_untreated_rep1,/,atlbr-2,Col-0,whole plant,10930370,0.95,12/8/2017,,other,other,other
DRX078172,PRJDB5481,Arabidopsis thaliana atlbr-2_untreated_rep2,/,atlbr-2,Col-0,whole plant,10568995,0.95,12/8/2017,,other,other,other
DRX078173,PRJDB5481,Arabidopsis thaliana atlbr-2_untreated_rep3,/,atlbr-2,Col-0,whole plant,10887374,0.94,12/8/2017,,other,other,other
DRX078174,PRJDB5481,Arabidopsis thaliana atlbr-2_LPStreated_rep1,/,atlbr-2,Col-0,whole plant,12017778,0.94,12/8/2017,,other,other,other
DRX078175,PRJDB5481,Arabidopsis thaliana atlbr-2_LPStreated_rep2,/,atlbr-2,Col-0,whole plant,12552450,0.95,12/8/2017,,other,other,other
DRX078176,PRJDB5481,Arabidopsis thaliana atlbr-2_LPStreated_rep3,/,atlbr-2,Col-0,whole plant,11208054,0.95,12/8/2017,,other,other,other
DRX084079,PRJDB5672,WT_mock_replicate1,/,wild type,Col-0,seedlings,19551375,0.85,1/26/2018,,other,other,other
DRX084080,PRJDB5672,WT_mock_replicate2,/,wild type,Col-0,seedlings,20164518,0.87,1/26/2018,,other,other,other
DRX084081,PRJDB5672,WT_mock_replicate3,/,wild type,Col-0,seedlings,32884314,0.8,1/26/2018,,other,other,other
DRX084082,PRJDB5672,WT_IAA_replicate1,/,wild type,Col-0,seedlings,27997673,0.8,1/26/2018,,other,other,other
DRX084083,PRJDB5672,WT_IAA_replicate2,/,wild type,Col-0,seedlings,33243346,0.81,1/26/2018,,other,other,other
DRX084084,PRJDB5672,WT_IAA_replicate3,/,wild type,Col-0,seedlings,30281274,0.89,1/26/2018,,other,other,other
DRX084085,PRJDB5672,WT_cvxIAA_replicate1,/,wild type,Col-0,seedlings,25252507,0.87,1/26/2018,,other,other,other
DRX084086,PRJDB5672,WT_cvxIAA_replicate2,/,wild type,Col-0,seedlings,23966726,0.84,1/26/2018,,other,other,other
DRX084087,PRJDB5672,WT_cvxIAA_replicate3,/,wild type,Col-0,seedlings,18187145,0.91,1/26/2018,,other,other,other
DRX084088,PRJDB5672,35S-TIR1_mock_replicate1,/,35S-TIR1,Col-0,seedlings,18906280,0.91,1/26/2018,,other,other,other
DRX084089,PRJDB5672,35S-TIR1_mock_replicate2,/,35S-TIR1,Col-0,seedlings,20099675,0.91,1/26/2018,,other,other,other
DRX084090,PRJDB5672,35S-TIR1_mock_replicate3,/,35S-TIR1,Col-0,seedlings,17956613,0.91,1/26/2018,,other,other,other
DRX084091,PRJDB5672,35S-TIR1_IAA_replicate1,/,35S-TIR1,Col-0,seedlings,25783850,0.82,1/26/2018,,other,other,other
DRX084092,PRJDB5672,35S-TIR1_IAA_replicate2,/,35S-TIR1,Col-0,seedlings,16749688,0.83,1/26/2018,,other,other,other
DRX084093,PRJDB5672,35S-TIR1_IAA_replicate3,/,35S-TIR1,Col-0,seedlings,15722817,0.84,1/26/2018,,other,other,other
DRX084094,PRJDB5672,35S-TIR1_cvxIAA_replicate1,/,35S-TIR1,Col-0,seedlings,20266863,0.82,1/26/2018,,other,other,other
DRX084095,PRJDB5672,35S-TIR1_cvxIAA_replicate2,/,35S-TIR1,Col-0,seedlings,18619258,0.91,1/26/2018,,other,other,other
DRX084096,PRJDB5672,35S-TIR1_cvxIAA_replicate3,/,35S-TIR1,Col-0,seedlings,21936726,0.92,1/26/2018,,other,other,other
DRX084097,PRJDB5672,35S-ccvTIR1_mock_replicate1,/,35S-ccvTIR1,Col-0,seedlings,20368375,0.91,1/26/2018,,other,other,other
DRX084098,PRJDB5672,35S-ccvTIR1_mock_replicate2,/,35S-ccvTIR1,Col-0,seedlings,18989475,0.91,1/26/2018,,other,other,other
DRX084099,PRJDB5672,35S-ccvTIR1_mock_replicate3,/,35S-ccvTIR1,Col-0,seedlings,20562106,0.91,1/26/2018,,other,other,other
DRX084100,PRJDB5672,35S-ccvTIR1_IAA_replicate1,/,35S-ccvTIR1,Col-0,seedlings,23916293,0.92,1/26/2018,,other,other,other
DRX084101,PRJDB5672,35S-ccvTIR1_IAA_replicate2,/,35S-ccvTIR1,Col-0,seedlings,20316123,0.91,1/26/2018,,other,other,other
DRX084102,PRJDB5672,35S-ccvTIR1_IAA_replicate3,/,35S-ccvTIR1,Col-0,seedlings,19893291,0.91,1/26/2018,,other,other,other
DRX084103,PRJDB5672,35S-ccvTIR1_cvxIAA_replicate1,/,35S-ccvTIR1,Col-0,seedlings,17035803,0.9,1/26/2018,,other,other,other
DRX084104,PRJDB5672,35S-ccvTIR1_cvxIAA_replicate2,/,35S-ccvTIR1,Col-0,seedlings,20932307,0.92,1/26/2018,,other,other,other
DRX084105,PRJDB5672,35S-ccvTIR1_cvxIAA_replicate3,/,35S-ccvTIR1,Col-0,seedlings,22948584,0.92,1/26/2018,,other,other,other
DRX084242,PRJDB5680,BL,/,/,RIL,seed,5327062,0.87,9/1/2017,,other,other,other
DRX084243,PRJDB5680,BS,/,/,RIL,seed,6383174,0.88,9/1/2017,,other,other,other
DRX084244,PRJDB5680,CN,/,/,Col-0,seed,5434030,0.85,9/1/2017,,other,other,other
DRX084245,PRJDB5680,CP,/,/,Col-0,seed,5447504,0.86,9/1/2017,,other,other,other
DRX084246,PRJDB5680,EN,/,/,Est-1,seed,6167959,0.83,9/1/2017,,other,other,other
DRX084247,PRJDB5680,EP,/,/,Est-1,seed,5378826,0.84,9/1/2017,,other,other,other
DRX084595,PRJDB5719,FukudaRNA5-2_Index15,/,/,/,aerial seedling,5645321,0.84,7/17/2018,,other,other,other
DRX084596,PRJDB5719,FukudaRNA5-2_Index16,/,/,/,aerial seedling,5873221,0.84,7/17/2018,,other,other,other
DRX084597,PRJDB5719,FukudaRNA5-2_Index23,/,/,/,aerial seedling,6314660,0.84,7/17/2018,,other,other,other
DRX084598,PRJDB5719,FukudaRNA5-2_Index24,/,/,/,aerial seedling,5879170,0.84,7/17/2018,,other,other,other
DRX084599,PRJDB5719,FukudaRNA5-2_Index31,/,/,/,aerial seedling,9283369,0.83,7/17/2018,,other,other,other
DRX084600,PRJDB5719,FukudaRNA5-2_Index32,/,/,/,aerial seedling,6316479,0.84,7/17/2018,,other,other,other
DRX084601,PRJDB5719,FukudaRNA5-2_Index39,/,/,/,aerial seedling,1904571,0.8,7/17/2018,,other,other,other
DRX084602,PRJDB5719,FukudaRNA5-2_Index40,/,/,/,aerial seedling,2251320,0.8,7/17/2018,,other,other,other
