Sample,Project,SampleName,PMID,Genotype,Ecotype,Tissue,TotalReads,UniqueMappedRate,ReleaseDate
DRX014507,PRJDB2508,RNA-seq of Arabidopsis dml2;3 (dd) plants under saline stress conditions,/,ros1dml2;3 mutant,/,whole plant,10330348,94.50%,2015/4/30
DRX014508,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under dehydration conditions,/,ros1dml2;3 mutant,/,whole plant,12458301,87.80%,2015/4/30
DRX014509,PRJDB2508,RNA-seq of Arabidopsis ros1dml2;3 (rdd) plants under saline stress conditions,/,ros1dml2;3 mutant,/,whole plant,10919328,92.10%,2015/4/30
DRX014760,PRJDB2380,DRS014294,/,wild type,Col-0,seedlings,11879962,73.90%,2017/1/2
DRX014761,PRJDB2380,DRS014295,/,wild type,Col-0,seedlings,14640751,75.00%,2017/1/2
DRX014762,PRJDB2380,RNA Seq of rfl2_5,/,rfl2,Col-0,seedlings,14744964,73.60%,2017/1/2
DRX014763,PRJDB2380,RNA Seq of rfl2_6,/,rfl2,Col-0,seedlings,13603449,73.60%,2017/1/2
DRX016648,PRJDB2760,WT grown for Dark 0h.,/,wild type,Col-0,whole plant,137575869,60.30%,2014/11/27
DRX016649,PRJDB2760,WT grown for Dark 3h.,/,wild type,Col-0,whole plant,116975801,58.80%,2014/11/27
DRX016650,PRJDB2760,WT grown for Red 1h.,/,wild type,Col-0,whole plant,192531285,74.90%,2014/11/27
DRX016651,PRJDB2760,WT grown for Red 3h.,/,wild type,Col-0,whole plant,153874697,63.60%,2014/11/27
DRX016652,PRJDB2760,PhyAB grown for Red 1h.,/,phyAB,Col-0,whole plant,118071016,60.70%,2014/11/27
DRX016653,PRJDB2760,PhyAB grown for Red 3h.,/,phyAB,Col-0,whole plant,165057458,65.80%,2014/11/27
DRX016654,PRJDB2760,PhyAB grown for Dark 0h.,/,phyAB,Col-0,whole plant,118044276,58.50%,2014/11/27
DRX019488,PRJDB2938,Illumina HiSeq 2000 paired end sequencing of SAMD00018417,/,wild type,Col-0,seedlings,91211162,93.40%,2016/6/1
DRX019489,PRJDB2938,Illumina HiSeq 2000 paired end sequencing of SAMD00018418,/,ibm2-2,Col-0,seedlings,71727119,92.10%,2016/6/1
DRX026439,PRJDB3468,WT,26941090,wild type,Col-0,whole plant,10849453,92.20%,2016/12/28
DRX026440,PRJDB3468,cca1 lhy,26941090,cca1 lhy double mutants,Col-0,whole plant,11543529,90.90%,2016/12/28
DRX028720,PRJDB3784,SAMD00028039,/,/,Col-0,meristems and young leaves,10644827,86.60%,2018/12/25
DRX028721,PRJDB3784,SAMD00028043,/,/,Col-0,meristems and young leaves,10967359,85.70%,2018/12/25
DRX028722,PRJDB3784,SAMD00028044,/,/,Col-0,meristems and young leaves,10452681,86.50%,2018/12/25
DRX028723,PRJDB3784,SAMD00028045,/,/,Col-0,meristems and young leaves,10052016,86.60%,2018/12/25
DRX028724,PRJDB3784,SAMD00028046,/,/,Col-0,meristems and young leaves,9131021,86.30%,2018/12/25
DRX028725,PRJDB3784,SAMD00028047,/,/,Col-0,meristems and young leaves,10168510,86.20%,2018/12/25
DRX028726,PRJDB3784,SAMD00028048,/,/,Col-0,inflorescence meristems,33022273,90.50%,2018/12/25
DRX028727,PRJDB3784,SAMD00028049,/,/,Col-0,inflorescence meristems,38661112,80.30%,2018/12/25
DRX028728,PRJDB3784,SAMD00028050,/,/,Col-0,inflorescence meristems,35755684,90.90%,2018/12/25
DRX028729,PRJDB3784,SAMD00028040,/,/,Col-0,inflorescence meristems,33642970,90.60%,2018/12/25
DRX028730,PRJDB3784,SAMD00028041,/,/,Col-0,inflorescence meristems,25902619,91.00%,2018/12/25
DRX028731,PRJDB3784,SAMD00028042,/,/,Col-0,inflorescence meristems,34291716,90.70%,2018/12/25
DRX029882,PRJDB3468,WT_1,26941090,/,Col-0,whole plant,3927300,89.00%,2016/3/30
DRX029883,PRJDB3468,WT_2,26941090,/,Col-0,whole plant,4188188,89.00%,2016/3/30
DRX029884,PRJDB3468,cl_1,26941090,cca1 lhy double mutant,/,whole plant,4269921,87.60%,2016/3/30
DRX029885,PRJDB3468,cl_2,26941090,cca1 lhy double mutant,/,whole plant,3772279,87.50%,2016/3/30
DRX039919,PRJDB4155,ZeroHAP,/,wild type,Col-0,ovule,7004011,91.20%,2017/8/16
DRX039920,PRJDB4155,NPT_12HAP,/,NPT,Col-0,ovule,6766441,89.70%,2017/8/16
DRX039921,PRJDB4155,NPT_24HAP,/,NPT,Col-0,ovule,6384368,89.50%,2017/8/16
DRX039922,PRJDB4155,NPT_48HAP,/,NPT,Col-0,ovule,6096323,89.40%,2017/8/16
DRX039923,PRJDB4155,WT_12HAP,/,wild type,Col-0,ovule,7265508,90.10%,2017/8/16
DRX039924,PRJDB4155,WT_24HAP,/,wild type,Col-0,ovule,7897368,91.80%,2017/8/16
DRX039925,PRJDB4155,WT_48HAP,/,wild type,Col-0,ovule,7170355,91.60%,2017/8/16
DRX039926,PRJDB4155,gcs1_12HAP,/,gcs1,Col-0,ovule,7298052,89.80%,2017/8/16
DRX039927,PRJDB4155,gcs1_24HAP,/,gcs1,Col-0,ovule,6655329,89.90%,2017/8/16
DRX039928,PRJDB4155,gcs1_48HAP,/,gcs1,Col-0,ovule,8174475,91.80%,2017/8/16
DRX043694,PRJDB4316,SAMD00042553,30150370,/,Col-0,cultured  cell,23880653,0.00%,2018/8/8
DRX043695,PRJDB4316,SAMD00042554,30150370,/,Col-0,cultured  cell,26075933,0.00%,2018/8/8
DRX043696,PRJDB4316,SAMD00042555,30150370,/,Col-0,cultured  cell,31382832,0.10%,2018/8/8
DRX043697,PRJDB4316,SAMD00042556,30150370,/,Col-0,cultured  cell,28614339,0.10%,2018/8/8
DRX043698,PRJDB4316,SAMD00042557,30150370,/,Col-0,cultured  cell,30397307,0.10%,2018/8/8
DRX043699,PRJDB4316,SAMD00042558,30150370,/,Col-0,cultured  cell,26682818,0.00%,2018/8/8
DRX051954,PRJDB4660,DRS060149,/,wild type,/,seedlings,45330258,82.90%,2018/3/16
DRX051955,PRJDB4660,DRS060150,/,hxk1 mutant (SAIL_680_D02),/,seedlings,53679002,88.30%,2018/3/16
DRX051956,PRJDB4660,DRS060151,/,max2 mutant (max2-1),/,seedlings,40221737,89.50%,2018/3/16
DRX060003,PRJDB4993,SAMD00056089,/,/,Br-0,root,6888369,83.10%,2018/7/17
DRX060004,PRJDB4993,SAMD00056090,/,/,Br-0,root,7416418,84.50%,2018/7/17
DRX060005,PRJDB4993,SAMD00056091,/,/,Br-0,root,7520634,81.10%,2018/7/17
DRX060006,PRJDB4993,SAMD00056092,/,/,Br-0,root,7799229,83.10%,2018/7/17
DRX060007,PRJDB4993,SAMD00056093,/,/,Br-0,root,8928357,83.00%,2018/7/17
DRX060008,PRJDB4993,SAMD00056094,/,/,Br-0,root,7223583,83.50%,2018/7/17
DRX060009,PRJDB4993,SAMD00056095,/,/,Col-0,root,7437828,92.60%,2018/7/17
DRX060010,PRJDB4993,SAMD00056096,/,/,Col-0,root,3329883,92.80%,2018/7/17
DRX060011,PRJDB4993,SAMD00056097,/,/,Col-0,root,6939746,92.70%,2018/7/17
DRX060012,PRJDB4993,SAMD00056098,/,/,Col-0,root,8028261,91.70%,2018/7/17
DRX060013,PRJDB4993,SAMD00056099,/,/,Col-0,root,7570866,91.70%,2018/7/17
DRX060014,PRJDB4993,SAMD00056100,/,/,Col-0,root,7463270,91.20%,2018/7/17
DRX060015,PRJDB4993,SAMD00056101,/,/,Dra-2,root,7057659,86.60%,2018/7/17
DRX060016,PRJDB4993,SAMD00056102,/,/,Dra-2,root,6619539,86.90%,2018/7/17
DRX060017,PRJDB4993,SAMD00056103,/,/,Dra-2,root,7293100,86.90%,2018/7/17
DRX060018,PRJDB4993,SAMD00056104,/,/,Dra-2,root,7843067,85.00%,2018/7/17
DRX060019,PRJDB4993,SAMD00056105,/,/,Dra-2,root,6966975,85.20%,2018/7/17
DRX060020,PRJDB4993,SAMD00056106,/,/,Dra-2,root,7727172,85.00%,2018/7/17
DRX060021,PRJDB4993,SAMD00056107,/,/,Shigu-2,root,8079907,85.10%,2018/7/17
DRX060022,PRJDB4993,SAMD00056108,/,/,Shigu-2,root,6989410,84.80%,2018/7/17
DRX060023,PRJDB4993,SAMD00056109,/,/,Shigu-2,root,7309921,84.20%,2018/7/17
DRX060024,PRJDB4993,SAMD00056110,/,/,Shigu-2,root,8003055,82.20%,2018/7/17
DRX060025,PRJDB4993,SAMD00056111,/,/,Shigu-2,root,7760367,83.20%,2018/7/17
DRX060026,PRJDB4993,SAMD00056112,/,/,Shigu-2,root,7965607,83.60%,2018/7/17
DRX060027,PRJDB4993,SAMD00056113,/,/,Valsi-1,root,7149904,86.60%,2018/7/17
DRX060028,PRJDB4993,SAMD00056114,/,/,Valsi-1,root,6609270,87.00%,2018/7/17
DRX060029,PRJDB4993,SAMD00056115,/,/,Valsi-1,root,7076890,86.70%,2018/7/17
DRX060030,PRJDB4993,SAMD00056116,/,/,Valsi-1,root,8564052,84.90%,2018/7/17
DRX060031,PRJDB4993,SAMD00056117,/,/,Valsi-1,root,8203195,85.20%,2018/7/17
DRX060032,PRJDB4993,SAMD00056118,/,/,Valsi-1,root,8420678,84.90%,2018/7/17
DRX060033,PRJDB4993,SAMD00056119,/,/,Wei-0,root,6642560,87.40%,2018/7/17
DRX060034,PRJDB4993,SAMD00056120,/,/,Wei-0,root,6576830,86.70%,2018/7/17
DRX060035,PRJDB4993,SAMD00056121,/,/,Wei-0,root,6164424,85.60%,2018/7/17
DRX060036,PRJDB4993,SAMD00056122,/,/,Wei-0,root,7368036,85.70%,2018/7/17
DRX060037,PRJDB4993,SAMD00056123,/,/,Wei-0,root,8218828,85.90%,2018/7/17
DRX060038,PRJDB4993,SAMD00056124,/,/,Wei-0,root,8221041,86.20%,2018/7/17
DRX060488,PRJDB5059,SAMD00056805,/,/,Col-0,cultured  cell,2359542,64.00%,2018/7/4
DRX060489,PRJDB5059,SAMD00056806,/,/,Col-0,cultured  cell,2794022,71.00%,2018/7/4
DRX061780,PRJDB5125,L142WT,/,wild type,Col-0,seedlings,21665190,50.00%,2018/9/6
DRX061781,PRJDB5125,L144drb2,/,drb2,Col-0,seedlings,17649298,84.90%,2018/9/6
DRX061782,PRJDB5125,L145drb3,/,drb3,Col-0,seedlings,11350593,89.20%,2018/9/6
DRX061783,PRJDB5125,L149DRB2ox,/,DRB2ox,Col-0,seedlings,12745139,37.50%,2018/9/6
DRX061784,PRJDB5125,L150DRB3ox,/,DRB3ox,Col-0,seedlings,6725771,85.60%,2018/9/6
DRX064451,PRJDB5141,Ctrl_1,28586097,/,Col-0,root,20137756,92.30%,2017/6/19
DRX064452,PRJDB5141,N_1,28586097,/,Col-0,root,19725062,93.10%,2017/6/19
DRX064453,PRJDB5141,K_1,28586097,/,Col-0,root,19143287,92.90%,2017/6/19
DRX064454,PRJDB5141,Ca_1,28586097,/,Col-0,root,22171345,95.00%,2017/6/19
DRX064455,PRJDB5141,Mg_1,28586097,/,Col-0,root,21279018,92.60%,2017/6/19
DRX064456,PRJDB5141,P_1,28586097,/,Col-0,root,19683272,93.00%,2017/6/19
DRX064457,PRJDB5141,S_1,28586097,/,Col-0,root,21640246,91.40%,2017/6/19
DRX064458,PRJDB5141,B_1,28586097,/,Col-0,root,21225643,93.00%,2017/6/19
DRX064459,PRJDB5141,Fe_1,28586097,/,Col-0,root,19547010,92.20%,2017/6/19
DRX064460,PRJDB5141,Mn_1,28586097,/,Col-0,root,23638602,92.00%,2017/6/19
DRX064461,PRJDB5141,Zn_1,28586097,/,Col-0,root,19507942,93.10%,2017/6/19
DRX064462,PRJDB5141,Cu_1,28586097,/,Col-0,root,18186495,92.60%,2017/6/19
DRX064463,PRJDB5141,Mo_1,28586097,/,Col-0,root,20974220,91.90%,2017/6/19
DRX064464,PRJDB5141,Ctrl_2,28586097,/,Col-0,root,26490574,95.10%,2017/6/19
DRX064465,PRJDB5141,N_2,28586097,/,Col-0,root,20269190,95.10%,2017/6/19
DRX064466,PRJDB5141,K_2,28586097,/,Col-0,root,22799077,94.90%,2017/6/19
DRX064467,PRJDB5141,Ca_2,28586097,/,Col-0,root,19773879,95.20%,2017/6/19
DRX064468,PRJDB5141,Mg_2,28586097,/,Col-0,root,22484707,94.60%,2017/6/19
DRX064469,PRJDB5141,P_2,28586097,/,Col-0,root,22376503,95.50%,2017/6/19
DRX064470,PRJDB5141,S_2,28586097,/,Col-0,root,22880541,95.20%,2017/6/19
DRX064471,PRJDB5141,B_2,28586097,/,Col-0,root,22832822,95.20%,2017/6/19
DRX064472,PRJDB5141,Fe_2,28586097,/,Col-0,root,20475949,94.90%,2017/6/19
DRX064473,PRJDB5141,Mn_2,28586097,/,Col-0,root,20339797,95.20%,2017/6/19
DRX064474,PRJDB5141,Zn_2,28586097,/,Col-0,root,18740319,94.80%,2017/6/19
DRX064475,PRJDB5141,Cu_2,28586097,/,Col-0,root,21365746,94.30%,2017/6/19
DRX064476,PRJDB5141,Mo_2,28586097,/,Col-0,root,20090585,95.20%,2017/6/19
DRX065024,PRJDB5175,Col_MS_1,/,wild type,Col-0,root,7992921,78.80%,2018/9/6
DRX065025,PRJDB5175,Col_MS_2,/,wild type,Col-0,root,8282396,76.00%,2018/9/6
DRX065026,PRJDB5175,MybOX_MS_1,/,MybOX,Col-0,root,5104257,46.90%,2018/9/6
DRX065027,PRJDB5175,MybOX_MS_2,/,MybOX,Col-0,root,8049674,75.20%,2018/9/6
DRX065028,PRJDB5175,myb30_MS_1,/,myb30-2,Col-0,root,8160721,80.30%,2018/9/6
DRX065029,PRJDB5175,myb30_MS_2,/,myb30-2,Col-0,root,8273459,76.80%,2018/9/6
DRX065030,PRJDB5175,Col_H2O_1,/,wild type,Col-0,root,6330523,76.40%,2018/9/6
DRX065031,PRJDB5175,Col_H2O_2,/,wild type,Col-0,root,8805636,80.20%,2018/9/6
DRX065032,PRJDB5175,myb30_H2O_1,/,myb30-2,Col-0,root,7187583,83.20%,2018/9/6
DRX065033,PRJDB5175,myb30_H2O_2,/,myb30-2,Col-0,root,9097713,82.90%,2018/9/6
DRX065034,PRJDB5175,MybOX_H2O_1,/,MybOX,Col-0,root,8633303,76.30%,2018/9/6
DRX065035,PRJDB5175,MybOX_H2O_2,/,MybOX,Col-0,root,8625359,79.70%,2018/9/6
DRX066158,PRJDB5183,WT_Dark_0h,/,wild type,Col-0,root,124831217,23.00%,2018/9/27
DRX066159,PRJDB5183,WT_Red_1h,/,wild type,Col-0,root,148179192,38.40%,2018/9/27
DRX066160,PRJDB5183,WT_Red_3h,/,wild type,Col-0,root,67868956,11.20%,2018/9/27
DRX066161,PRJDB5183,WT_Dark_3h,/,wild type,Col-0,root,67351015,51.90%,2018/9/27
DRX066162,PRJDB5183,phyAphyB_Dark_0h,/,phyAphyB,Col-0,root,97611210,34.50%,2018/9/27
DRX066163,PRJDB5183,phyAphyB_Red_1h,/,phyAphyB,Col-0,root,140615805,30.50%,2018/9/27
DRX066164,PRJDB5183,phyAphyB_Red_3h,/,phyAphyB,Col-0,root,62537171,7.70%,2018/9/27
DRX066165,PRJDB5183,phyAphyB_Dark_3h,/,phyAphyB,Col-0,root,58236428,49.00%,2018/9/27
DRX066823,PRJDB5192,WT_RNA_A1,/,wild type,Col-0,leaves and shoot,13876017,92.90%,2017/1/27
DRX066824,PRJDB5192,WT_RNA_A2,/,wild type,Col-0,leaves and shoot,14841169,91.70%,2017/1/27
DRX066825,PRJDB5192,WT_RNA_A3,/,wild type,Col-0,leaves and shoot,13547152,92.60%,2017/1/27
DRX066826,PRJDB5192,ibm1_RNA_A1,/,ibm1,Col-0,leaves and shoot,14813397,92.80%,2017/1/27
DRX066827,PRJDB5192,ibm1_RNA_A2,/,ibm1,Col-0,leaves and shoot,13864607,82.90%,2017/1/27
DRX066828,PRJDB5192,ibm1_RNA_A3,/,ibm1,Col-0,leaves and shoot,12255953,92.50%,2017/1/27
DRX066829,PRJDB5192,ibm1 ldl2_RNA_A1,/,ibm1 ldl2,Col-0,leaves and shoot,15036304,92.10%,2017/1/27
DRX066830,PRJDB5192,ibm1 ldl2_RNA_A2,/,ibm1 ldl2,Col-0,leaves and shoot,13340000,86.20%,2017/1/27
DRX066831,PRJDB5192,ibm1 ldl2_RNA_A3,/,ibm1 ldl2,Col-0,leaves and shoot,13949226,92.40%,2017/1/27
DRX066832,PRJDB5192,WT_RNA_B1,/,wild type,Col-0,leaves and shoot,14026572,86.30%,2017/1/27
DRX066833,PRJDB5192,WT_RNA_B2,/,wild type,Col-0,leaves and shoot,16653593,84.90%,2017/1/27
DRX066834,PRJDB5192,WT_RNA_B3,/,wild type,Col-0,leaves and shoot,15664386,86.00%,2017/1/27
DRX066835,PRJDB5192,ldl2_RNA_B1,/,ldl2,Col-0,leaves and shoot,14315521,88.50%,2017/1/27
DRX066836,PRJDB5192,ldl2_RNA_B2,/,ldl2,Col-0,leaves and shoot,15423278,87.30%,2017/1/27
DRX066837,PRJDB5192,ldl2_RNA_B3,/,ldl2,Col-0,leaves and shoot,15758402,85.80%,2017/1/27
DRX066838,PRJDB5192,suvh456_RNA_B1,/,suvh456,Col-0,leaves and shoot,17577240,88.40%,2017/1/27
DRX066839,PRJDB5192,suvh456_RNA_B2,/,suvh456,Col-0,leaves and shoot,16234653,85.40%,2017/1/27
DRX066840,PRJDB5192,suvh456_RNA_B3,/,suvh456,Col-0,leaves and shoot,17372121,85.20%,2017/1/27
DRX078165,PRJDB5481,SAMD00071766,/,wild type,Col-0,whole plant,10811031,88.90%,2017/12/8
DRX078166,PRJDB5481,SAMD00071767,/,wild type,Col-0,whole plant,11414565,93.60%,2017/12/8
DRX078167,PRJDB5481,SAMD00071768,/,wild type,Col-0,whole plant,10692573,94.00%,2017/12/8
DRX078168,PRJDB5481,SAMD00071769,/,wild type,Col-0,whole plant,10642849,94.50%,2017/12/8
DRX078169,PRJDB5481,SAMD00071770,/,wild type,Col-0,whole plant,9945969,93.90%,2017/12/8
DRX078170,PRJDB5481,SAMD00071771,/,wild type,Col-0,whole plant,9802590,94.80%,2017/12/8
DRX078171,PRJDB5481,SAMD00071772,/,atlbr-2,Col-0,whole plant,10930370,94.50%,2017/12/8
DRX078172,PRJDB5481,SAMD00071773,/,atlbr-2,Col-0,whole plant,10568995,94.80%,2017/12/8
DRX078173,PRJDB5481,SAMD00071774,/,atlbr-2,Col-0,whole plant,10887374,94.00%,2017/12/8
DRX078174,PRJDB5481,SAMD00071775,/,atlbr-2,Col-0,whole plant,12017778,94.00%,2017/12/8
DRX078175,PRJDB5481,SAMD00071776,/,atlbr-2,Col-0,whole plant,12552450,94.60%,2017/12/8
DRX078176,PRJDB5481,SAMD00071777,/,atlbr-2,Col-0,whole plant,11208054,94.90%,2017/12/8
DRX084079,PRJDB5672,WT_mock_replicate1,/,wild type,Col-0,seedlings,19551375,85.40%,2018/1/26
DRX084080,PRJDB5672,WT_mock_replicate2,/,wild type,Col-0,seedlings,20164518,87.20%,2018/1/26
DRX084081,PRJDB5672,WT_mock_replicate3,/,wild type,Col-0,seedlings,32884314,80.20%,2018/1/26
DRX084082,PRJDB5672,WT_IAA_replicate1,/,wild type,Col-0,seedlings,27997673,79.90%,2018/1/26
DRX084083,PRJDB5672,WT_IAA_replicate2,/,wild type,Col-0,seedlings,33243346,81.40%,2018/1/26
DRX084084,PRJDB5672,WT_IAA_replicate3,/,wild type,Col-0,seedlings,30281274,88.50%,2018/1/26
DRX084085,PRJDB5672,WT_cvxIAA_replicate1,/,wild type,Col-0,seedlings,25252507,87.30%,2018/1/26
DRX084086,PRJDB5672,WT_cvxIAA_replicate2,/,wild type,Col-0,seedlings,23966726,83.60%,2018/1/26
DRX084087,PRJDB5672,WT_cvxIAA_replicate3,/,wild type,Col-0,seedlings,18187145,91.40%,2018/1/26
DRX084088,PRJDB5672,35S-TIR1_mock_replicate1,/,35S-TIR1,Col-0,seedlings,18906280,90.90%,2018/1/26
DRX084089,PRJDB5672,35S-TIR1_mock_replicate2,/,35S-TIR1,Col-0,seedlings,20099675,91.30%,2018/1/26
DRX084090,PRJDB5672,35S-TIR1_mock_replicate3,/,35S-TIR1,Col-0,seedlings,17956613,91.00%,2018/1/26
DRX084091,PRJDB5672,35S-TIR1_IAA_replicate1,/,35S-TIR1,Col-0,seedlings,25783850,81.90%,2018/1/26
DRX084092,PRJDB5672,35S-TIR1_IAA_replicate2,/,35S-TIR1,Col-0,seedlings,16749688,83.30%,2018/1/26
DRX084093,PRJDB5672,35S-TIR1_IAA_replicate3,/,35S-TIR1,Col-0,seedlings,15722817,84.00%,2018/1/26
DRX084094,PRJDB5672,35S-TIR1_cvxIAA_replicate1,/,35S-TIR1,Col-0,seedlings,20266863,82.20%,2018/1/26
DRX084095,PRJDB5672,35S-TIR1_cvxIAA_replicate2,/,35S-TIR1,Col-0,seedlings,18619258,91.20%,2018/1/26
DRX084096,PRJDB5672,35S-TIR1_cvxIAA_replicate3,/,35S-TIR1,Col-0,seedlings,21936726,91.50%,2018/1/26
DRX084097,PRJDB5672,35S-ccvTIR1_mock_replicate1,/,35S-ccvTIR1,Col-0,seedlings,20368375,91.40%,2018/1/26
DRX084098,PRJDB5672,35S-ccvTIR1_mock_replicate2,/,35S-ccvTIR1,Col-0,seedlings,18989475,91.40%,2018/1/26
DRX084099,PRJDB5672,35S-ccvTIR1_mock_replicate3,/,35S-ccvTIR1,Col-0,seedlings,20562106,91.30%,2018/1/26
DRX084100,PRJDB5672,35S-ccvTIR1_IAA_replicate1,/,35S-ccvTIR1,Col-0,seedlings,23916293,91.60%,2018/1/26
DRX084101,PRJDB5672,35S-ccvTIR1_IAA_replicate2,/,35S-ccvTIR1,Col-0,seedlings,20316123,91.40%,2018/1/26
DRX084102,PRJDB5672,35S-ccvTIR1_IAA_replicate3,/,35S-ccvTIR1,Col-0,seedlings,19893291,91.30%,2018/1/26
DRX084103,PRJDB5672,35S-ccvTIR1_cvxIAA_replicate1,/,35S-ccvTIR1,Col-0,seedlings,17035803,90.20%,2018/1/26
DRX084104,PRJDB5672,35S-ccvTIR1_cvxIAA_replicate2,/,35S-ccvTIR1,Col-0,seedlings,20932307,91.50%,2018/1/26
DRX084105,PRJDB5672,35S-ccvTIR1_cvxIAA_replicate3,/,35S-ccvTIR1,Col-0,seedlings,22948584,91.90%,2018/1/26
DRX084242,PRJDB5680,BL,/,/,RIL,seed,5327062,86.50%,2017/9/1
DRX084243,PRJDB5680,BS,/,/,RIL,seed,6383174,87.60%,2017/9/1
DRX084244,PRJDB5680,CN,/,/,Col-0,seed,5434030,85.30%,2017/9/1
DRX084245,PRJDB5680,CP,/,/,Col-0,seed,5447504,86.30%,2017/9/1
DRX084246,PRJDB5680,EN,/,/,Est-1,seed,6167959,82.80%,2017/9/1
DRX084247,PRJDB5680,EP,/,/,Est-1,seed,5378826,84.40%,2017/9/1
DRX084595,PRJDB5719,SAMD00078886,/,/,/,aerial seedling,5645321,83.80%,2018/7/17
DRX084596,PRJDB5719,SAMD00078898,/,/,/,aerial seedling,5873221,83.60%,2018/7/17
DRX084597,PRJDB5719,SAMD00078887,/,/,/,aerial seedling,6314660,83.50%,2018/7/17
DRX084598,PRJDB5719,SAMD00078899,/,/,/,aerial seedling,5879170,83.70%,2018/7/17
DRX084599,PRJDB5719,SAMD00078888,/,/,/,aerial seedling,9283369,82.90%,2018/7/17
DRX084600,PRJDB5719,SAMD00078900,/,/,/,aerial seedling,6316479,83.90%,2018/7/17
DRX084601,PRJDB5719,SAMD00078889,/,/,/,aerial seedling,1904571,79.50%,2018/7/17
DRX084602,PRJDB5719,SAMD00078901,/,/,/,aerial seedling,2251320,80.00%,2018/7/17
DRX084603,PRJDB5719,SAMD00078890,/,/,/,aerial seedling,274746,68.10%,2018/7/17
DRX084604,PRJDB5719,SAMD00078902,/,/,/,aerial seedling,11390008,82.50%,2018/7/17
DRX084605,PRJDB5719,SAMD00078891,/,/,/,aerial seedling,3589559,81.80%,2018/7/17
DRX084606,PRJDB5719,SAMD00078903,/,/,/,aerial seedling,6327091,82.90%,2018/7/17
DRX084607,PRJDB5719,SAMD00078892,/,/,/,aerial seedling,4148425,83.60%,2018/7/17
DRX084608,PRJDB5719,SAMD00078904,/,/,/,aerial seedling,5579685,82.20%,2018/7/17
DRX084609,PRJDB5719,SAMD00078885,/,/,/,aerial seedling,4817136,84.30%,2018/7/17
DRX084610,PRJDB5719,SAMD00078893,/,/,/,aerial seedling,5089318,82.00%,2018/7/17
DRX084611,PRJDB5719,SAMD00078905,/,/,/,aerial seedling,7268189,82.40%,2018/7/17
DRX084612,PRJDB5719,SAMD00078894,/,/,/,aerial seedling,5838570,82.30%,2018/7/17
